Author,Publication Date,Review
twawaaay,"on Oct 29, 2022","I wasn't aware of SAFe until one new manager got our director to loose his head for it and institute it in all teams.It was a total disaster.The idea of Agile is for each team to be responsible to improve their processes. Because improvement loops involving higher management are taking forever to complete and because each team has its own needs. ""Agile"" (quotes intentional) as practiced today is bad enough -- teams are not really improving their process, only implementing something taken from a book.SAFe is taking it one step further by absolutely obliterating team's ability to influence the process.At least with ""standard Agile"" it was possible for some teams to do the right thing, as long as they had a manager that understood what Agile really is.With SAFe that was gone.I was told that we can't even modify our t-shirt sizing because ""It has to be standardised, otherwise there would be too much chaos. BTW, we are definitely not creating a new request form to change t-shirt sizes in Jira""Forget about changing any other part of the project. We had a bunch of testers and business analysts which did absolutely nothing but had to stay on the team because they were required in the process by higher management. We did not need them. I spent time hiring people who could do the work from discussing requirements with the business people through design, implementation up to deploying it to prod, but that did not matter.Talk about crazy projects..."
closeparen,"on Oct 29, 2022","The middle manager brain has ""consistency"" as a terminal value. Being responsible for more activity than they can hope to substantively understand, they ""need"" systems that make it all look the same so it can be measured, summarized, compared, etc. Otherwise they get the intuitive sense that it's all chaos and mayhem and can't possibly be working well. It's the same sort of thing as an architect being mad that different services have different internal architectures, tech stacks, code styles.It's true that such differences make it unreasonably difficult to understand or manage things at the abstraction level of the middle manager or architect's portfolio. But it misses the question of how and whether things should be managed from that level at all. Often you have someone stepping into a working bottoms-up emergent order (like the internet, or a market economy) hamfistedly trying to implement top-down central planning control. SAFe is a tool of choice for these attempts.The radicalism of ""true agile"" is not about the duration of the planning cycle, but about the level of autonomy and control vested way down in the leaves of an org chart."
twawaaay,"on Oct 29, 2022","I think the issue is that middle management does not yet have ""true"" leadership ability. Rather than getting people to do what they want, they are trying to build systems to achieve the same. Too bad they don't understand you can't force people to do things. Not knowing how to actually manage at larger scale, they are trying to solve the problem the same way that worked for them at small scale and just scale it up.The issue with the place I worked and described was the director tried to build systems to ""ensure"" everything was organised. He could not conceive this could actually be bad. That his job was actually to focus on building environment, making sure lower levels have everything they need to be able to build more efficient systems at small scale.He was a low level manager promoted too fast and missed the fact that his job changed."
cdavid,"on Oct 30, 2022","One issue is visibility. If things are perceived as not going as well as they should, and there is no visibility, it is extremely difficult for any leader to defend their group.To focus on building the environment, there are broadly two situations that can happen. 1. your director has broadly speaking total support from his leadership,  and the leadership will be ""patient"" and trust the director to do things. 2. there is no such support, you better deliver on your KPI or you're next.In most cases, it is in between 1 and 2 of course. If it is not mostly 1., there the director will not be able to do much without understanding the delivery. If your director needs to ""push back"" to help foster a good environment, they will need some ammunitions, which will likely require commitments (in time, KPI, etc.).To be honest, it is really hard. I myself recently became director, taking over teams that were self-organized but had high attrition. ""Do I enforce too much / not enough process"" is a question I ask myself very regularly."
rab-the-goat,"on Oct 30, 2022","This comment gets right to the root of the problem. People standing above emergent order looking down (typically) want to control it, but they'll never have the knowledge or bandwidth to control it well. So we play out Soviet economics over and over again in the corporate world."
Terretta,"on Oct 30, 2022","Big difference between consistency* and rhythm.  Teams should play jazz with other teams.* “A foolish consistency is the hobgoblin of little minds, adored by little statesmen..."" — Emerson"
acjohnson55,"on Oct 30, 2022","That's a failure mode of middle management, but it's not a problem inherent to middle managers. Good middle managers know that every team has its own best ways of working, just as a good manager tailors their actions to individual reports' needs."
bane,"on Oct 29, 2022","SAFe seems to be a bit like ""internet scale"", it's designed for very large organizations building very large single software solutions. Most organizations wildly overestimate their size and the size of their solutions. A Microsoft Office release probably can benefit from SAFe, an update to an auth microservice maintained part/time by a team of .75 FTE doesn't.SAFe seems to sort of be a micro-waterfall approach inspired by Conway's law [1]. It build massive communication and coordination teams so that this gets reflected into short-term development waterfalls that produce software that mirrors the system that managed it. But this team needs to be dwarfed by the development effort they are trying to push forward or they'll end up dominating all of the activities with largely useless communication and coordination activities resulting in very slow forward software movement, confused goals and priorities, and overstaffing of projects.Example: I once ran a team that was developing some internal tools for a large org, but we were outside of the main SAFe effort. At one point we became dependent on some service the SAFe effort was going to produce. It took 60 people 3 years to not produce a correctly working service. Exhausted with this, I finally just had 1 person build the service we needed as a stopgap. She spent 3 months building it with part-time support from one other engineer for a couple weeks. More than 3 years later that is the service that's still running and the SAFe effort never did manage to get a properly working solution out the door. I can think of half a dozen similar examples where the parallel effort by a smaller team with less organizational overhead radically outperformed the giant SAFe team -- and they did it mostly by just ad hoc communication channels between the small teams.1 - https://en.wikipedia.org/wiki/Conway's_law"
_fat_santa,"on Oct 29, 2022","I've worked in a number of large orgs that have used SAFe and it always seems that you end up spending more time on the bureaucracy than actually writing any code.My team just finished a ""Release Train"" where we supposably adding in a massive feature from a legacy app that required a full team of developers. The team could have probably been half the size and we could have most likely finished it in half the time, what slowed down our velocity so much was all the bureaucracy that SAFe created around doing the most simple piece of work.The company says that need SAFe to properly track the work that is happening, but they place such a massive reporting burden on the people doing the actual work that things crawl at a snails pace. I once had to push a bug fix for which I had to create a JIRA story. I spent 20 minutes creating the story and attaching all the correct labels, 5 minutes implementing the fix and opening a PR, and then another 15 minutes fighting the time tracker to log the 5 minutes that I worked on the story."
drran,"on Oct 30, 2022",N/A
jffhn,"on Oct 29, 2022",">It took 60 people 3 years to not produce a correctly working service. [...] She spent 3 months building it.Using 60 people to produce something 1 person could do, is like cutting this person's brain in 60 parts and connecting them with 1Hz data links.V. Lextrait (CTO of Amadeus at the time if I recall properly) had a rule of only splitting a piece of work between multiple developpers if it couldn't fit in the otherwise single developper's head."
quickthrower2,"on Oct 29, 2022","It is worse than that. Try to get 60 people to pick up one spoon for example. The coordination overhead and arguing “which spoon”
and “we should consider picking up a knife!” means it is easier
for one person.Otoh, searching for a criminal in the woods is embarrassingly parallelizable and would benefit from a 60 search party (forget dogs in this imperfect analogy).Most software dev like the spoon is not super parallelizable. But probably more amenable to a single person working on each project than developers think."
lodovic,"on Oct 30, 2022","To me, it feels like SAFe was specifically designed to insert some expensive consultants between the developers to profit off software development without doing much actual work.Instead of working together with developers to solve a problem we now have to use these rigid structures, release trains, system teams, and sync meetings, to do our work. If I want to approach a developer in a different team I'm supposed to go through two scrum masters, and setup multiple meetings with clueless people, this is madness.Instead of using decades of professional developer experience to make strategic decisions we now get these complex decision processes such as WSJF, designed by a group of MBAs. It only seems to complicate things.And we have an army of clueless but very expensive people (scrum masters and ""release train engineers"" with minimal experience) who have been brainwashed to think that despite minimal training and experience they have some SAFe gospel to spread, they are the one source of wisdom, and developers are just a nuisance standing in their way."
steve1977,"on Oct 31, 2022","> To me, it feels like SAFe was specifically designed to insert some expensive consultants between the developers to profit off software development without doing much actual work.That's exactly what it is. And that applies to many methodologies and management practices. In our company there are whole layers of management that are totally useless and unnecessary."
RajT88,"on Oct 29, 2022","I took a SAFe training class once, and they explained that Wal-Mart does this sort of exercise quarterly.  Rents out a warehouse, flies in all the dev managers and leads, and does sprint planning using all the boards they have stood up everywhere.I am not commenting on how effective it was for them of course.  It seemed to me to be a bit overkill for the size of the company I was in (about 5k people)."
coredog64,"on Oct 29, 2022","I worked at a company that did something similar.  IT was west coast and business stakeholders were east coast.  Twice a year the business stakeholders would come out to present the current landscape, work out their roadmap, and maybe even focus on detailed requirements for immediate stories.  At the end, the business stakeholders would all get in a room and present their roadmaps.It worked pretty well.  A few weeks of F2F with business folks built up some rapport if nothing else."
