Author,Publication Date,Review
KaiserPro,"on Oct 1, 2023","I think the biggest issue with devops is that it originally meant ""socialising"" your sysadmins, by getting them to sit with your devs, so that shit didn't get lost because nobody thought to talk to the right team.But then it morphed into ""oh lets innovate with infrastructure"" but the innovation turned into ""lol lets just restart from scratch and ignore history"" Anybody who used early k8s can attest to how un production ready it was for the longest time. It _felt_ like progress because it required a lot of (to dev eyes) hidden magic to make it work.Now, we are back with sysadmins, but they are called SREs. They provide a platform, which devs talk to to deploy stuff.Basically we're back where we were in 2015, just with more yaml.The good things that have come out of devops has been the dashboarding and metrics tools. Its just a shame that everything else touched by it appears to be an infinite source of busy work (looking at you kubernetes)(before anyone asks, I'm an SRE at a FAANG.)"
lamontcg,"on Oct 2, 2023","DevOps was originally about moving ops into dev teams.  At Amazon they just gave devs pagers.  Devs hated that.  The SRE role seems to have taken over the app-facing side of what system engineers did being an interface between an app and the hardware.  A lot of what I see SREs doing is things like app metrics and SLAs which were not what system engineers really did.  And the SRE role has been pushed around from being embedded in dev teams, to being their own teams that managed apps to being a centralized DevOps team that looks an awful lot like the old silo'd split between Dev and Ops.  I don't know where the actual system engineers went, they probably run Kubernetes clusters at FAANGs and have SRE titles these days."
notanormalnerd,"on Oct 1, 2023","So you mean, DevOps has made Sysadmins more service oriented and now instead of having their pets and being in overprotective silos, they actually provide best practices and proper platforms for the poeple developing the software?"
sisve,"on Oct 1, 2023","Im not sure how former sysadmins feel about it, but from a dev standpoint, DevOps worked great for us. Making a clean cut on a plattform. Was my app down, I got message/called. If the platform was down it was the Infrastructure team / PaaS provider that needed to fix it.In the old days we had so few deploys and a hotfix was something that was extraordinary. I actually had a board of something in another country approving that we where allowed to deploy. They knew nothing about the application.."
tryauuum,"on Oct 1, 2023","god do I hate the ""pet"" analogyyes this server is special to me. No, I cannot move workloads somewhere else and shoot the server in the head. Because customers are running GPU workloads there, I cannot transparently migrate them"
fragmede,"on Oct 2, 2023","How does the analogy falling flat for you? GPUs are interchangable resources; an H100 is just like any other H100, even if you can't take a snapshot of an intermediate state from one and load it onto another and resume."
tryauuum,"on Oct 3, 2023","I thought about it and I don't hate the analogy. Although usually I'm very against comparing IT stuff with physical stuff because it tends to produce pointless conversations.What I hate is the attitude of ""treating your server is a pet is wrong, you should be able to kill it and replace any time"". I feel like people who say it never run anything more complex than an HTTP API."
fragmede,"on Oct 4, 2023","Ah yeah I totally agree. Having pets is fine until it isn't. A single-digit handful is fine. 1,000 bespoke pets, way above Dunbar's number, isn't. Where exactly you run out of mental headroom and should convert is up to you; the point is that there is one and converting over should be planned for in the North Star roadmap of future development.My (Raspberry Pi) home server is very much a pet, but I'm never going to productionize that thing, so I'm totally fine with it being a pet, despite the practice at work of having no pets, all cattle."
KaiserPro,"on Oct 1, 2023","thats how it _should_ be.The place it worked the best was where a team of sysadmins were split up and embedded with each dev team. each devop would then rotate onto another team every 6 months or so. This meant that _we_ had to document our shit for the next devop, but also helped eliminate key person dependencies.We would then have a weekly offsite where we'd bitch and moan about our teams and conspire to make things better."
nunez,"on Oct 2, 2023","...and all of that is before looking at the tools in the CNCF diagram.Maybe this is ""old man yells at cloud"" me but I miss 2015 DevOps.If you knew Terraform, Ansible/Chef, a monitoring tool, a cloud (usually AWS) and a programming language (usually Python), you were all set and could still be idiomatically/culturally DevOps.And I say that as someone that knows Kubernetes very well"
tester756,"on Oct 1, 2023",<conspiracy theory>Admins wanted to increase their $$ and started calling themselves DevOpsAnd developed some automation to justify that</conspiracy theory>
fragmede,"on Oct 2, 2023","I know a few old school sysadmins who got left behind because they couldn't upskill to DevOps and consequently lost out on $$, others who were fired after moving everything off prem to AWS because the company no longer needed them. You understand that your theory is a ""conspiracy theory"", so why even say it? how does that add to the discussion?"
KaiserPro,"on Oct 1, 2023","Shhhh, the union will get you.Although sadly in most cases the automation was harder than the original service to look after."
mattgreenrocks,"on Oct 1, 2023","More a general question, but I’ve gotten pings in the past to be an SRE at a FAANG despite not doing much cloud stuff. Is it the type of role people take for a tour of duty and then transfer out of?I imagine there are SREs who enjoy it and stay there, but curious why they’d invite someone heavy on the dev side to interview."
dijit,"on Oct 1, 2023","Depends on the FAANG, Google famously throws devs at ops problems.Ironically they realised this wasn't a good idea in exclusivity, so now they hire two disciplines: SRE-SWE and SRE-SYS.SRE-SYS is as you would expect, pretty standard sysadmin knowledge from 2005 (IE; not helpdesk sysadmin, some scripting knowledge, heavy OS knowledge, heavy debugging knowledge).SRE-SWE is much more programmer heavy with a light touch on OS fundamentals (based on what I consider important for OS knowledge FWIW)."
KaiserPro,"on Oct 1, 2023","depends on the company and department.the downsides of SRE is that you tend to be super hyper specialised in something thats only really of any sense to that department inside a company.Moreover, you're dealing with real steel machines, and amounts of data that are prohibitorily expensive to just start again with. (the joy of AWS is that most of the times you can delete it all and spin it up again, often side by side)also, some SREs are really specialised software devs, others like me are sysadmins who'd been swept by the current into SRE roles.My company SREs are not like google's, where they are rock stars swanning about doing one line fixes that make everything .48% more reliable. We are computer nurses making sure that the wards of systems we look after aren't wiped out because a doctor forgot to wash their hands after taking a poo.However, they both require the same skills: murder mystery and the ability to dive super deep into the stack, go from python->c->assembly. or service->VFS->cache->network->time weirdnessAlso it could just be copy pasting service defs and making dashboards, then pinging devs saying ""shits on fire yo"""
